id,name,sinhala name,author,author sinhala name,translator,translator sinhala name,language,categoery,Tags
1077,Aramadasa,අරමදාස,Ariyawansa Abeysekara,අරියවංශ අබේසේකර,,,Sinhala,Sinhala Novel,
1078,Sansakkari,සංසක්කාරී,Manohari Jayalath,මනෝහාරි ජයලත්,,,Sinhala,Sinhala Novel,
1079,Hadawath warak,හදවත් වාරක්,Niluka Brandon,නිලුකා බ්‍රැන්ඩන්,,,Sinhala,Sinhala Novel,
1080,Jivithaye Oil Pellam,ජීවිතයේ ඔයිල් පැල්ලම්,Tharindu Sri Lokugamage,තාරිඳු ශ්‍රී ලොකුගමගේ,,,Sinhala,Sinhala Novel,
1081,Eulosia,ඉයුලෝසියා,Tharaka Kaldera,තාරක කල්දේරා,,,Sinhala,Sinhala Novel,
1082,Atawaka Puththu,අටවක පුත්තු,Liyanage Amarakeerthi,ලියනගේ අමරකීර්ති,,,Sinhala,Sinhala Novel,
1083,Munnakkare Sansare,මුන්නක්කරේ සංසාරේ,Manjula Wediwardena,මංජුල වෙඩිවර්ධන,,,Sinhala,Sinhala Novel,
1084,E ahabu Atheetha Hendewa,ඒ අහඹු අතීත හැන්දෑව,Manjula Wediwardena,මංජුල වෙඩිවර්ධන,,,Sinhala,Sinhala Novel,
1085,Asiri Sirini 4,අසිරි සිරිනි 4,Chithra I Perera,චිත්‍රා අයි. පෙරේරා,,,Sinhala,Sinhala Short Stories,
1086,miyedunu wila,මියැදුණු විල,Hameed Ismailow,හමීඩ් ඉස්මයිලොව්,Chulananda Samranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,
1087,Kura handeki wiyekena,කුරා හඬකි වියැකෙන,Nobat Ayagamage,නොබට් අයගමගේ,,,Sinhala,Sinhala Novel,
1088,Adisi Nadiya,අදිසි නදිය,Kapila Kumara Kalinga,කපිල කුමාර කාලිංග,,,Sinhala,Sinhala Novel,
1089,Treblinkawe Awasan Yudewwa,ට්‍රෙබ්ලින්කාවේ අවසන් යුදෙව්වා,Chil Raichman,චිල් රාජ්මන්,Kasun Niranga de Soysa,කසුන් නිරංග ද සොයිසා,Sinhala,English Translation Novel,
1090,Rip Van Winkle,රිප් වැන් වින්ක්ල්,Washington Irving,වොෂින්ටන් අර්වින්,Chandra Anagirathna,චන්ද්‍ර ඇනගිරත්න,Sinhala,English Translation Novel,
1091,Samuduru Mekala,සමුදුරු මේඛලා,Nimal Bandara,නිමල් බණ්ඩාර,,,Sinhala,Children Sinhala,
1092,Galge Kanda,ගල්ගේ කන්ද,Nimal Bandara,නිමල් බණ්ඩාර,,,Sinhala,Children Sinhala,
1093,Rangiri Arana,රංගිරි අරණ,Nimal Bandara,නිමල් බණ්ඩාර,,,Sinhala,Children Sinhala,
1094,wana raja dahana,වන රජ දහන,Nimal Bandara,නිමල් බණ්ඩාර,,,Sinhala,Children Sinhala,
1095,Heenaya,හීනය,G.B. Senanayaka,ජී.බී. සේනානායක,,,Sinhala,Children Sinhala,
1096,Maha Lobaya,මහා ලෝභයා,G.B. Senanayaka,ජී.බී. සේනානායක,,,Sinhala,Children Sinhala,
1097,Mal Kumari,මල් කුමාරී,G.B. Senanayaka,ජී.බී. සේනානායක,,,Sinhala,Children Sinhala,
1098,Rath Handun Rupaya,රත් හඳුන් රූපය,G.B. Senanayaka,ජී.බී. සේනානායක,,,Sinhala,Children Sinhala,
1099,Halmessa,හාල්මැස්සා,G.B. Senanayaka,ජී.බී. සේනානායක,,,Sinhala,Children Sinhala,
1100,Amba Kathawa,අඹ කතාව,G.B. Senanayaka,ජී.බී. සේනානායක,,,Sinhala,Children Sinhala,
1101,Melory Towers Balika Viduhala - 2,මැලරි ටවර්ස් බාලිකා විදුහල - 2,Enid Blyton,ඊනිඞ් බ්ලයිටන්,Chandra Anagirathna,චන්ද්‍ර ඇනගිරත්න,Sinhala,English Translation Children,
