id,name,sinhala name,author,author sinhala name,translator,translator sinhala name,language,categoery,Tags
789,Angaharu Pratyantha Deshaya,Angaharu Pratyantha Deshaya,Jayrathna Ihala Kodippili,,,,Sinhala,Science Fiction,
790,Rawana 10,Rawana 10,M. Pasindu Lakshan Perera,,,,Sinhala,Science Fiction,
791,Kal Ikuth Wu Minisa,Kal Ikuth Wu Minisa,,,Kumari Welihinda,කුමාරි වැලිහින්ද,Sinhala,India Short Stories,Short Stories
792,Madurasi Koluwa,Madurasi Koluwa,Neel Wijerathna,,,,Sinhala,Other,
793,Bengali Yeheliya,Bengali Yeheliya,Neel Wijeratha,,,,Sinhala,Other,
794,Kerala Nalangana,Kerala Nalangana,Neel Wijerathna,,,,Sinhala,Other,
795,Sulanga Numba Saha Mama,Sulanga Numba Saha Mama,Saman Edirimuni,,,,Sinhala,Sinhala Novel,Novel
796,Red White Royal Blue,Red White Royal Blue,Casey McQuiston,,Nimmi Muditha Herath,නිම්මි මුදිතා හේරත්,Sinhala,English Translation Novel,Novel
797,Maidnes,Maidnes,Alex Michaelides,ඇලෙක්ස් මයිකලිඩීස්,Kavisha Nadun Kaggodarachchi,කවීෂ නඳුන් කැග්ගොඩආරච්චි,Sinhala,English Translation Novel,Novel
798,Nohandunana Linkan,Nohandunana Linkan,Dale Carnegie,,Gamini Kumara Vithana,ගාමිණී කුමාර විතාන,Sinhala,English Translation Novel,Novel
799,1932,1932,Imesh Madushanka Yapa,ඉමේෂ් මධුෂංක යාපා,,,Sinhala,Sinhala Novel,Novel
800,Kala Sancharakaya,Kala Sancharakaya,Pasindu Kalhara Medagedara,,,,Sinhala,Science Fiction,
801,Glesera,ග්ලේෂරා,Keshan Hareshu,කේෂාන් හරේෂ්,,නොදනී,Sinhala,Science Fiction,
802,Nadi Thera Abhirahasa,නදී තෙර අබිරහස,Rurh Ware,රූත් වෙයාර්,Chathuranga Samaradiwakara,චතුරංග සමරදිවාකර,Sinhala,English Translation Novel,
803,Anduru Wanapetha,අඳුරු වනපෙත (In a Dark,Ruth Ware,Ruth Ware,Manel Jayanthi gunasekara,Manel Jayanthi Gunasekara,Sinhala,English Translation Novel,
804,Awasan Prarthanaya,අවසන් ප්‍රාර්ථනය,Andrzej Sapkowski,ඇන්ඩ්‍රේ සප්කොව්ස්කි,Tharushi Niranga Jayasinghe,තරුෂි නිරංග ජයසිංහ,Sinhala,English Translation Novel,
805,Wijeweerage Ghathakaya Premadasa da,විජේවීරගේ ඝාතකයා ප්‍රේමදාස ද?,Chandana Kariyawasam,චන්දන කාරියවසම්,,නොදනී,Sinhala,Sinhala Novel,
