"165","Sherlock Holms -Rathuwatha Hendikatha","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"166","Sherlock Holms - Bihisunu Nimnaya","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"167","Sherlock Holms - Le Salakuna","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"168","Sherlock Holms - Sherlock Holms Apasu Eyi","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"169","Sherlock Holms - Bayanaka Miniha","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"170","Sherlock Holms - Lohitha Pareeksanaya","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"171","Sherlock Holms - Kalu Wyagraya","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"172","Sherlock Holms - Antharaya Adawiyaka","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"173","Sherlock Holms - Bishanayak","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"174","Sherlock Holms - Weradunu Dadayama","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"175","Sherlock Holms - Indra nila Manikya","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"176","Sherlock Holms - Adbutha Aganthukaya","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"177","Sherlock Holms - Samudure Satana","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"178","Sherlock Holms - Gindara Samaga Sellam","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"179","Sherlock Holms - Russiyanu Ottykaraya","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"180","Beskarwilhi Dadaballa","Sir Arthur Conandoyle","K.G.Karunathilaka","Sinhala","English Translation Novel"
"181","Sherlock Holmsge Mathaka Satahan","Sir Arthur Conandoyle","N.A.D.Gunathilaka","Sinhala","English Translation Novel"
"182","Maraka Satana",,"Chandana Mendis","Sinhala","English Translation Novel"
"183","Pradipagaraye Wickramaya","Sherlock Holmes","Chandana Mendis","Sinhala","English Translation Novel"
"184","Ejypthu shapaya","Sherlock Holmes","Chandana Mendis","Sinhala","English Translation Novel"
"185","Surupi Nalangana","Sherlock Holmes","Chandana Mendis","Sinhala","English Translation Novel"
"186","Wedi Handa","Sherlock Holmes","Chandana Mendis","Sinhala","English Translation Novel"
"187","Getakapana Puncha","Leon Garfield","Chandana Mendis","Sinhala","English Translation Novel"
"188","Sengawunu lowe Sawariyak","Sir Arthur Conandoyle","Chandana Mendis","Sinhala","English Translation Novel"
"189","Raktha Manikyaye Abhirahasa","Anthony Reed","Chandana Mendis","Sinhala","English Translation Novel"
"190","Rahas Pariksakaya Athurudan","Anthony Reed","Chandana Mendis","Sinhala","English Translation Novel"
"191","Lokaya Wate Asu Dawasakin","Juls wern","Chandana Mendis","Sinhala","English Translation Novel"
"192","Bihisunu Gamanak","Robert luis stevensen","Lasitha Ravin Umagiliya","Sinhala","English Translation Novel"
"193","Anthima Kemetta",,"Lasitha Ravin Umagiliya","Sinhala","English Translation Novel"
"194","Marana Thunak",,"Lasitha Ravin Umagiliya","Sinhala","English Translation Novel"
"195","Adisi Hasthaya",,"Lasitha Ravin Umagiliya","Sinhala","English Translation Novel"
"196","Bhishanye horawa","Lasitha Ravin Umagiliya",,"Sinhala","English Translation Novel"
"197","Nihanda shakshiya","Lasitha Ravin Umagiliya",,"Sinhala","English Translation Novel"
"198","Ethulwima Tahanam","Lasitha Ravin Umagiliya",,"Sinhala","English Translation Novel"
"199","Manimekala","Lasitha Ravin Umagiliya",,"Sinhala","English Translation Novel"
"200","Volga Dupatha","Lasitha Ravin Umagiliya",,"Sinhala","English Translation Novel"
